,Source,Target,Weight
14929,xo_trixy,mistermv,645
15547,edopeh,maxim,1862
15556,edopeh,kutcherlol,704
15691,qq102qq,pikra10,2403
15692,qq102qq,2chamcham2,515
15693,qq102qq,yapyap30,1195
15694,qq102qq,dogswellfish,556
15695,qq102qq,pjs9073,881
15696,qq102qq,handongsuk,2398
15697,qq102qq,dopa24,1549
15698,qq102qq,109ace,647
15701,qq102qq,pacific8815,1192
15702,qq102qq,kanetv8,744
15703,qq102qq,obm1025,1436
15704,qq102qq,woowakgood,919
15705,qq102qq,yunzinseok,625
15706,qq102qq,tmxk319,6274
15707,qq102qq,yumyumyu77,522
15708,qq102qq,kimdoe,553
15709,qq102qq,hejin0_0,557
15710,qq102qq,ljh0328,638
15712,qq102qq,rhffkddl96,672
15713,qq102qq,ddahyoni,961
15714,qq102qq,lol_ambition,2282
15715,qq102qq,rlgus1006,1435
15716,qq102qq,saddummy,1093
15717,qq102qq,flurry1989,502
15718,qq102qq,zilioner,1765
15719,qq102qq,runner0608,782
15720,qq102qq,sal_gu,563
15721,qq102qq,portialyn,654
15722,qq102qq,sees360,536
15723,qq102qq,nokduro,1043
15724,qq102qq,paka9999,5129
15725,qq102qq,ch1ckenkun,528
15726,qq102qq,aba4647,3486
15727,qq102qq,crazzyccat,2067
15728,qq102qq,xkwhd,3053
15730,qq102qq,dda_ju,528
15959,8cho,juansguarnizo,33764
15963,8cho,elded,3935
15965,8cho,unicornio,983
15966,8cho,coscu,2759
15969,8cho,chusommontero,509
15972,8cho,selis13,811
15974,8cho,aroyitt,1314
15976,8cho,natalan,1489
15979,8cho,karchez,6367
15991,8cho,littleragergirl,2006
15992,8cho,gonsabellla,868
16000,8cho,sirolopez56,526
16011,8cho,sujagg,1005
16012,8cho,komanche,2795
16013,8cho,rickyedit,693
16017,8cho,auronplay,51060
16035,8cho,shroud,721
16036,8cho,momonkunn,1485
16041,8cho,ibai,39214
16042,8cho,mery_soldier,603
16044,8cho,alexelcapo,2184
16049,8cho,grafo,603
16052,8cho,knekro,3062
16063,dreamwastaken,neimki,976
16068,dreamwastaken,karlnetwork,6356
16070,dreamwastaken,hannahxxrose,1159
16082,dreamwastaken,lilypichu,669
16085,dreamwastaken,ranboobutnot,1844
16086,dreamwastaken,tommyinnit,3830
16089,dreamwastaken,shroud,593
16090,dreamwastaken,aimsey,1267
16093,dreamwastaken,pokimane,827
16094,dreamwastaken,karljacobs,5623
16233,mortenroyale,mehdideluxe,754
16234,mortenroyale,noahreyli,1187
16239,mortenroyale,chefstrobel,3283
16242,mortenroyale,eliasn97,4414
16253,mortenroyale,benjyfishy,525
16256,mortenroyale,katoo,676
16263,mortenroyale,shroud,756
16270,mortenroyale,yosoyricklive,827
16336,iskall85,karlnetwork,776
16354,iskall85,shroud,682
16355,iskall85,aimsey,686
16358,iskall85,karljacobs,518
17018,pikra10,2chamcham2,1274
17019,pikra10,yapyap30,3389
17020,pikra10,dogswellfish,897
17021,pikra10,pjs9073,1345
17022,pikra10,naseongkim,1034
17023,pikra10,flamekr,1110
17024,pikra10,zoodasa,526
17025,pikra10,handongsuk,5137
17026,pikra10,dopa24,3395
17027,pikra10,torona1,791
17028,pikra10,109ace,1374
17032,pikra10,rooftopcat99,981
17033,pikra10,pacific8815,2581
17034,pikra10,kanetv8,1310
17035,pikra10,johnny3047258,854
17036,pikra10,9ambler,716
17037,pikra10,obm1025,1094
17038,pikra10,woowakgood,1106
17039,pikra10,yunzinseok,1533
17040,pikra10,bbonge_,615
17041,pikra10,tmxk319,8370
17042,pikra10,yumyumyu77,1119
17043,pikra10,steelohs,1499
17044,pikra10,kangqui,555
17045,pikra10,kimdoe,1500
17046,pikra10,hejin0_0,790
17047,pikra10,ljh0328,2624
17048,pikra10,leechunhyang,524
17049,pikra10,haxxnini,523
17050,pikra10,chodan_,607
17051,pikra10,lol_woolf,581
17053,pikra10,rhffkddl96,2514
17054,pikra10,sizer0346,503
17055,pikra10,ajehr,750
17057,pikra10,sonycast_,706
17058,pikra10,ddahyoni,3085
17059,pikra10,woohankyung,595
17060,pikra10,lol_ambition,2094
17061,pikra10,jinu6734,536
17062,pikra10,rlgus1006,2349
17063,pikra10,surrenderhs,897
17064,pikra10,saddummy,2001
17066,pikra10,nodolly,554
17067,pikra10,flurry1989,1561
17068,pikra10,kss7749,825
17069,pikra10,zilioner,4195
17070,pikra10,looksam,1191
17071,pikra10,runner0608,1902
17072,pikra10,sal_gu,1008
17073,pikra10,portialyn,1585
17074,pikra10,sn400ja,529
17075,pikra10,nokduro,2681
17076,pikra10,paka9999,11384
17077,pikra10,ch1ckenkun,1316
17078,pikra10,sooflower,593
17079,pikra10,aba4647,7051
17080,pikra10,mister903,759
17081,pikra10,crazzyccat,1827
17082,pikra10,xkwhd,8400
17084,pikra10,dda_ju,1200
17085,pikra10,rkdthdus930,1149
17087,pikra10,jungtaejune,866
17159,mayapie1,gearbaby1010,944
17160,mayapie1,beryl_lulu,756
17161,mayapie1,carry_game,965
17162,mayapie1,sweetcampercs,844
17163,mayapie1,uzra,734
17164,mayapie1,failverde,862
17165,mayapie1,bbbb87,890
17167,mayapie1,blusewilly_retry,628
17168,mayapie1,guanweiboy,987
17169,mayapie1,chen810830,576
17170,mayapie1,zhiting_li,809
17171,mayapie1,zrush,642
17172,mayapie1,roieee,522
17173,mayapie1,et_1231,755
17174,mayapie1,muse_tw,560
17175,mayapie1,qq7925168,542
17176,mayapie1,butterflyouo,501
17177,mayapie1,bebelolz,600
17178,mayapie1,xargon0731,756
17179,mayapie1,kyo1984123,764
17180,mayapie1,gunguno,770
17181,mayapie1,godjj,806
17185,sidoka_ns,loud_coringa,4349
17186,sidoka_ns,shayvictorioo,2561
17187,sidoka_ns,loud_thurzin,1001
17189,sidoka_ns,brasilfpss,3112
17279,chessbrah,sneakylol,669
17281,chessbrah,boxbox,955
17285,chessbrah,sodapoppin,1954
17287,chessbrah,midbeast,747
17292,chessbrah,sashagrey,697
17298,chessbrah,melina,913
17302,chessbrah,summit1g,1265
17316,chessbrah,btssmash,610
17320,chessbrah,pokelawls,525
17324,chessbrah,lilypichu,685
17328,chessbrah,39daph,773
17330,chessbrah,loltyler1,1386
17331,chessbrah,forsen,1201
17334,chessbrah,shroud,2569
17336,chessbrah,tarik,631
17337,chessbrah,cyr,586
17338,chessbrah,chess24,2300
17339,chessbrah,aceu,527
17340,chessbrah,pokimane,1471
17341,chessbrah,lol_nemesis,547
17343,chessbrah,moistcr1tikal,1116
17344,chessbrah,superjj102,558
17348,chessbrah,mang0,1137
17349,chessbrah,dogdog,1063
17689,2chamcham2,yapyap30,4473
17690,2chamcham2,dogswellfish,2672
17691,2chamcham2,rngudwnswkd,2052
17692,2chamcham2,pjs9073,15951
17693,2chamcham2,naseongkim,3070
17694,2chamcham2,flamekr,2491
17695,2chamcham2,zoodasa,808
17696,2chamcham2,lol_madlife,948
17697,2chamcham2,handongsuk,8866
17698,2chamcham2,dopa24,581
17699,2chamcham2,dkwl025,3088
17700,2chamcham2,torona1,934
17701,2chamcham2,109ace,1328
17702,2chamcham2,bking0921,843
17704,2chamcham2,rooftopcat99,1881
17706,2chamcham2,pacific8815,4798
17707,2chamcham2,kanetv8,767
17708,2chamcham2,cherrypach,12137
17709,2chamcham2,lovelyyeon,1649
17710,2chamcham2,johnny3047258,3844
17711,2chamcham2,9ambler,6476
17712,2chamcham2,obm1025,5089
17713,2chamcham2,woowakgood,2954
17714,2chamcham2,bbonge_,12279
17715,2chamcham2,tmxk319,4047
17716,2chamcham2,ao_o5,3595
17717,2chamcham2,yumyumyu77,3215
17718,2chamcham2,nanajam777,1085
17719,2chamcham2,leehunnyeo,1015
17720,2chamcham2,kangqui,519
17721,2chamcham2,kimdoe,1552
17722,2chamcham2,hejin0_0,4883
17723,2chamcham2,skswhdkgo1,684
17724,2chamcham2,leechunhyang,8693
17725,2chamcham2,collet11,9964
17726,2chamcham2,bighead033,1271
17727,2chamcham2,haxxnini,1059
17728,2chamcham2,acro_land,556
17729,2chamcham2,chodan_,928
17730,2chamcham2,lol_woolf,1588
17733,2chamcham2,dua3362,595
17734,2chamcham2,ajehr,1721
17736,2chamcham2,jdm2088,2512
17737,2chamcham2,sonycast_,2517
17738,2chamcham2,rkdwl12,5993
17739,2chamcham2,ddahyoni,4634
17740,2chamcham2,woohankyung,1165
17741,2chamcham2,lol_ambition,1948
17742,2chamcham2,yoowooyang,753
17743,2chamcham2,msmsms213,1876
17744,2chamcham2,jinu6734,17572
17745,2chamcham2,gongparipa,6084
17747,2chamcham2,zzamtiger0310,647
17748,2chamcham2,saddummy,7581
17750,2chamcham2,nodolly,5054
17752,2chamcham2,flurry1989,1925
17753,2chamcham2,kss7749,1230
17754,2chamcham2,zilioner,3555
17755,2chamcham2,looksam,2183
17756,2chamcham2,runner0608,5873
17757,2chamcham2,sal_gu,2062
17758,2chamcham2,portialyn,1908
17759,2chamcham2,sah_yang,7218
17760,2chamcham2,alenenwooptv,868
17761,2chamcham2,sn400ja,1222
17762,2chamcham2,nokduro,3336
17763,2chamcham2,mlchoins,1353
17764,2chamcham2,paka9999,3174
17765,2chamcham2,kimdduddi,10966
17766,2chamcham2,ch1ckenkun,2127
17767,2chamcham2,sooflower,1305
17768,2chamcham2,magenta62,1551
17769,2chamcham2,aba4647,2046
17770,2chamcham2,ma_mwa,4954
17771,2chamcham2,mister903,1593
17772,2chamcham2,silphtv,6836
17773,2chamcham2,crazzyccat,852
17774,2chamcham2,hatsalsal,1328
17775,2chamcham2,xkwhd,1745
17776,2chamcham2,yd0821,1804
17777,2chamcham2,95pingman,3447
17778,2chamcham2,nanayango3o,11748
17780,2chamcham2,kumikomii,10576
17781,2chamcham2,kuiki771,9511
17782,2chamcham2,s1032204,11114
17783,2chamcham2,inecr7024,984
17785,2chamcham2,rainblue37,526
17786,2chamcham2,dda_ju,7309
17787,2chamcham2,rkdthdus930,3823
17788,2chamcham2,jungtaejune,757
17975,yapyap30,dogswellfish,5560
17976,yapyap30,genius_mad,608
17977,yapyap30,pjs9073,12078
17978,yapyap30,naseongkim,6727
17979,yapyap30,flamekr,9702
17980,yapyap30,zoodasa,1115
17981,yapyap30,lol_madlife,1920
17982,yapyap30,handongsuk,34789
17983,yapyap30,dopa24,1339
17984,yapyap30,torona1,2254
17985,yapyap30,109ace,6176
17986,yapyap30,bking0921,2369
17989,yapyap30,dawnhs,1069
17990,yapyap30,rooftopcat99,4358
17992,yapyap30,pacific8815,15665
17993,yapyap30,kanetv8,2477
17994,yapyap30,cherrypach,1630
17995,yapyap30,lovelyyeon,2223
17996,yapyap30,johnny3047258,7638
17997,yapyap30,9ambler,850
17998,yapyap30,obm1025,3338
17999,yapyap30,kranichhs,826
18000,yapyap30,woowakgood,3222
18001,yapyap30,yunzinseok,719
18002,yapyap30,bbonge_,1593
18003,yapyap30,tmxk319,10821
18004,yapyap30,yumyumyu77,11022
18005,yapyap30,steelohs,2547
18006,yapyap30,nanajam777,1967
18007,yapyap30,leehunnyeo,1263
18008,yapyap30,kangqui,1436
18009,yapyap30,kimdoe,4227
18010,yapyap30,hejin0_0,819
18011,yapyap30,skswhdkgo1,634
18012,yapyap30,parkseorim,815
18013,yapyap30,ljh0328,2174
18014,yapyap30,leechunhyang,3222
18015,yapyap30,collet11,780
18016,yapyap30,haxxnini,2063
18017,yapyap30,acro_land,1619
18018,yapyap30,chodan_,1459
18019,yapyap30,lol_woolf,2098
18021,yapyap30,rhffkddl96,1799
18022,yapyap30,sizer0346,729
18024,yapyap30,dua3362,1077
18025,yapyap30,ajehr,1746
18027,yapyap30,jdm2088,851
18028,yapyap30,sonycast_,4714
18029,yapyap30,rkdwl12,515
18031,yapyap30,ddahyoni,21911
18032,yapyap30,woohankyung,2041
18033,yapyap30,lol_ambition,3081
18034,yapyap30,jinu6734,2354
18035,yapyap30,gongparipa,828
18036,yapyap30,rlgus1006,797
18037,yapyap30,surrenderhs,1879
18039,yapyap30,zzamtiger0310,1807
18040,yapyap30,saddummy,12045
18042,yapyap30,nodolly,7369
18044,yapyap30,flurry1989,10133
18045,yapyap30,kss7749,4049
18046,yapyap30,zilioner,14793
18047,yapyap30,looksam,13145
18048,yapyap30,runner0608,17355
18049,yapyap30,sal_gu,2544
18050,yapyap30,portialyn,6684
18051,yapyap30,sees360,1084
18052,yapyap30,sah_yang,1118
18053,yapyap30,sn400ja,598
18054,yapyap30,nokduro,7308
18055,yapyap30,pusa6019,676
18056,yapyap30,mlchoins,1431
18057,yapyap30,paka9999,8192
18058,yapyap30,kimdduddi,1247
18059,yapyap30,ch1ckenkun,3592
18060,yapyap30,airshowerse,1444
18062,yapyap30,sooflower,2052
18063,yapyap30,magenta62,1201
18064,yapyap30,aba4647,5403
18065,yapyap30,ma_mwa,592
18066,yapyap30,shroud,851
18067,yapyap30,mister903,892
18068,yapyap30,silphtv,649
18069,yapyap30,crazzyccat,2121
18070,yapyap30,moogrr1211,601
18072,yapyap30,hatsalsal,2593
18073,yapyap30,xkwhd,3933
18074,yapyap30,yd0821,1794
18075,yapyap30,nanayango3o,1158
18077,yapyap30,tranth,1673
18079,yapyap30,kumikomii,1077
18080,yapyap30,kuiki771,1064
18081,yapyap30,s1032204,2625
18082,yapyap30,inecr7024,2017
18084,yapyap30,dda_ju,13495
18085,yapyap30,baedony,2073
18086,yapyap30,rkdthdus930,9951
18087,yapyap30,jungtaejune,2721
18476,imviolet_,evaanna,914
18483,imviolet_,sodapoppin,740
18487,imviolet_,sashagrey,515
18489,imviolet_,spoopykitt,540
18495,imviolet_,melina,870
18497,imviolet_,gonsabellla,568
18499,imviolet_,summit1g,623
18506,imviolet_,savyultras90,574
18510,imviolet_,andreadel1988,691
18513,imviolet_,auronplay,699
18516,imviolet_,grenbaud,1301
18517,imviolet_,loltyler1,674
18521,imviolet_,shroud,1444
18525,imviolet_,ibai,1238
18526,imviolet_,gskianto,1629
18528,imviolet_,pokimane,538
18530,imviolet_,ibabyrainbow,541
18534,imviolet_,velox,833
18539,tteuw,paulanobre,3309
18541,tteuw,gratis150ml,514
18545,tteuw,s1mple,512
18547,tteuw,loud_coringa,1428
18549,tteuw,hastad,879
18550,tteuw,pulgaboy,805
18551,tteuw,deercheerup,1001
18553,tteuw,nuuhfps,2859
18554,tteuw,suetam1v4,974
18555,tteuw,casimito,3207
18556,tteuw,frttt,7847
18558,tteuw,calango,556
18563,tteuw,revolta,517
18572,tteuw,sacy,7385
18575,tteuw,shroud,915
18576,tteuw,alanzoka,2724
18577,tteuw,oestagiario,913
18578,tteuw,yayahuz,818
19159,nemo_good,kato_junichi0817,815
19160,nemo_good,fps_shaka,1035
19162,nemo_good,stylishnoob4,992
20265,projektmelody,boxbox,1195
20267,projektmelody,robcdee,2524
20270,projektmelody,sodapoppin,1842
20271,projektmelody,snuffy,7880
20281,projektmelody,nukomaro2020,736
20282,projektmelody,richwcampbell,875
20283,projektmelody,summit1g,821
20288,projektmelody,ironmouse,13019
20295,projektmelody,pokelawls,571
20297,projektmelody,lilypichu,2328
20298,projektmelody,tuonto,1312
20299,projektmelody,roflgator,1614
20302,projektmelody,39daph,887
20304,projektmelody,loltyler1,819
20306,projektmelody,forsen,787
20307,projektmelody,shroud,1619
20308,projektmelody,zackrawrr,567
20312,projektmelody,pokimane,968
20313,projektmelody,anny,3183
20314,projektmelody,ibabyrainbow,641
20315,projektmelody,moistcr1tikal,2670
20323,projektmelody,nyanners,11770
20325,dogswellfish,rngudwnswkd,1198
20326,dogswellfish,genius_mad,881
20327,dogswellfish,pjs9073,5502
20328,dogswellfish,naseongkim,3555
20329,dogswellfish,flamekr,1472
20330,dogswellfish,zoodasa,935
20331,dogswellfish,lol_madlife,617
20332,dogswellfish,handongsuk,11067
20333,dogswellfish,dkwl025,740
20334,dogswellfish,torona1,1832
20335,dogswellfish,109ace,2577
20337,dogswellfish,rooftopcat99,4519
20339,dogswellfish,pacific8815,7042
20340,dogswellfish,kanetv8,2431
20341,dogswellfish,cherrypach,1857
20342,dogswellfish,lovelyyeon,2439
20343,dogswellfish,johnny3047258,1970
20344,dogswellfish,9ambler,734
20345,dogswellfish,obm1025,4182
20346,dogswellfish,woowakgood,5181
20347,dogswellfish,bbonge_,1476
20348,dogswellfish,tmxk319,2100
20349,dogswellfish,ao_o5,503
20350,dogswellfish,yumyumyu77,4331
20351,dogswellfish,steelohs,607
20352,dogswellfish,nanajam777,1029
20353,dogswellfish,leehunnyeo,1367
20354,dogswellfish,kangqui,550
20355,dogswellfish,kimdoe,4403
20356,dogswellfish,hejin0_0,780
20357,dogswellfish,leechunhyang,1755
20358,dogswellfish,collet11,1132
20359,dogswellfish,bighead033,1183
20360,dogswellfish,haxxnini,1050
20361,dogswellfish,chodan_,879
20362,dogswellfish,lol_woolf,867
20364,dogswellfish,sizer0346,864
20366,dogswellfish,ajehr,1918
20368,dogswellfish,jdm2088,632
20369,dogswellfish,sonycast_,3233
20370,dogswellfish,rkdwl12,1150
20371,dogswellfish,ddahyoni,3917
20372,dogswellfish,woohankyung,1189
20373,dogswellfish,lol_ambition,1826
20374,dogswellfish,yoowooyang,887
20375,dogswellfish,jinu6734,2004
20376,dogswellfish,gongparipa,981
20378,dogswellfish,zzamtiger0310,1588
20379,dogswellfish,saddummy,8781
20380,dogswellfish,nodolly,2274
20382,dogswellfish,flurry1989,2019
20383,dogswellfish,kss7749,4493
20384,dogswellfish,zilioner,7485
20385,dogswellfish,looksam,1909
20386,dogswellfish,runner0608,5612
20387,dogswellfish,sal_gu,2114
20388,dogswellfish,portialyn,1899
20389,dogswellfish,sah_yang,1186
20390,dogswellfish,alenenwooptv,1084
20391,dogswellfish,sn400ja,1074
20392,dogswellfish,nokduro,5599
20393,dogswellfish,paka9999,1570
20394,dogswellfish,kimdduddi,1006
20395,dogswellfish,ch1ckenkun,1662
20396,dogswellfish,sooflower,1545
20397,dogswellfish,magenta62,951
20398,dogswellfish,aba4647,1610
20399,dogswellfish,ma_mwa,1019
20400,dogswellfish,mister903,929
20401,dogswellfish,silphtv,966
20402,dogswellfish,crazzyccat,867
20403,dogswellfish,hatsalsal,2900
20404,dogswellfish,xkwhd,839
20405,dogswellfish,yd0821,688
20406,dogswellfish,95pingman,549
20407,dogswellfish,nanayango3o,2235
20409,dogswellfish,tranth,2040
20411,dogswellfish,kumikomii,1852
20412,dogswellfish,kuiki771,1011
20413,dogswellfish,s1032204,1934
20415,dogswellfish,dda_ju,2868
20416,dogswellfish,baedony,850
20417,dogswellfish,rkdthdus930,2919
20418,dogswellfish,jungtaejune,3265
20442,inet_saju,isamu,972
20444,inet_saju,remsua,901
20446,inet_saju,holak1337,514
20450,inet_saju,vysotzky,638
20452,inet_saju,shroud,667
20457,inet_saju,polsatgames,822
20458,inet_saju,pisicela,1157
20461,rngudwnswkd,pjs9073,3674
20462,rngudwnswkd,naseongkim,916
20463,rngudwnswkd,handongsuk,1528
20464,rngudwnswkd,dkwl025,927
20466,rngudwnswkd,rooftopcat99,846
20467,rngudwnswkd,pacific8815,786
20468,rngudwnswkd,cherrypach,1853
20469,rngudwnswkd,9ambler,1084
20470,rngudwnswkd,obm1025,1511
20471,rngudwnswkd,woowakgood,838
20472,rngudwnswkd,bbonge_,1558
20473,rngudwnswkd,tmxk319,523
20474,rngudwnswkd,ao_o5,711
20475,rngudwnswkd,yumyumyu77,501
20476,rngudwnswkd,kimdoe,863
20477,rngudwnswkd,hejin0_0,675
20478,rngudwnswkd,leechunhyang,1154
20479,rngudwnswkd,collet11,1205
20480,rngudwnswkd,bighead033,1024
20481,rngudwnswkd,ajehr,799
20482,rngudwnswkd,jdm2088,1461
20483,rngudwnswkd,sonycast_,547
20484,rngudwnswkd,rkdwl12,1456
20485,rngudwnswkd,ddahyoni,611
20486,rngudwnswkd,msmsms213,1023
20487,rngudwnswkd,jinu6734,2282
20488,rngudwnswkd,gongparipa,1702
20490,rngudwnswkd,saddummy,1807
20491,rngudwnswkd,nodolly,657
20492,rngudwnswkd,kss7749,832
20493,rngudwnswkd,zilioner,880
20494,rngudwnswkd,runner0608,955
20495,rngudwnswkd,sal_gu,1374
20496,rngudwnswkd,sah_yang,1494
20497,rngudwnswkd,sn400ja,590
20498,rngudwnswkd,nokduro,1612
20499,rngudwnswkd,kimdduddi,1110
20500,rngudwnswkd,ch1ckenkun,736
20501,rngudwnswkd,magenta62,536
20502,rngudwnswkd,ma_mwa,842
20503,rngudwnswkd,silphtv,1357
20504,rngudwnswkd,yd0821,720
20505,rngudwnswkd,95pingman,1395
20506,rngudwnswkd,nanayango3o,1974
20507,rngudwnswkd,kumikomii,2109
20508,rngudwnswkd,kuiki771,1249
20509,rngudwnswkd,s1032204,1361
20511,rngudwnswkd,dda_ju,801
20512,rigoncs,s1mple,502
20588,genius_mad,pjs9073,515
20589,genius_mad,naseongkim,516
20590,genius_mad,handongsuk,1459
20591,genius_mad,pacific8815,737
20592,genius_mad,yumyumyu77,652
20593,genius_mad,kimdoe,565
20594,genius_mad,ddahyoni,590
20595,genius_mad,saddummy,1510
20596,genius_mad,kss7749,1112
20597,genius_mad,zilioner,932
20598,genius_mad,runner0608,618
20599,genius_mad,nokduro,1043
20600,genius_mad,hatsalsal,688
20602,gearbaby1010,breeze0920,2830
20604,gearbaby1010,yuniko0720,1947
20605,gearbaby1010,beryl_lulu,4724
20606,gearbaby1010,boxbox,622
20607,gearbaby1010,sixwong,1496
20608,gearbaby1010,nein1203,1547
20609,gearbaby1010,mobilmobil,2148
20610,gearbaby1010,carry_game,10477
20612,gearbaby1010,sweetcampercs,10203
20613,gearbaby1010,uzra,4115
20614,gearbaby1010,sweetdreams,524
20615,gearbaby1010,kannachan524,5023
20616,gearbaby1010,slrabbit99,1592
20617,gearbaby1010,wayne75525,4270
20619,gearbaby1010,failverde,2354
20620,gearbaby1010,franchiseglobalart,705
20621,gearbaby1010,bbbb87,12148
20622,gearbaby1010,lyon3k,653
20623,gearbaby1010,albislol,1157
20625,gearbaby1010,kentung,5296
20626,gearbaby1010,jielun1215,1634
20627,gearbaby1010,shuteye_orange,2074
20628,gearbaby1010,blusewilly_retry,2476
20630,gearbaby1010,jeffnam1129,712
20631,gearbaby1010,haxxnini,1763
20633,gearbaby1010,chodan_,575
20637,gearbaby1010,guanweiboy,12847
20638,gearbaby1010,inkiiing,778
20639,gearbaby1010,linfufu,1665
20640,gearbaby1010,jongie,797
20641,gearbaby1010,woohankyung,1615
20644,gearbaby1010,chen810830,4311
20647,gearbaby1010,ggbb528,3956
20649,gearbaby1010,zhiting_li,6550
20651,gearbaby1010,mimiluckying,1098
20652,gearbaby1010,zrush,2486
20653,gearbaby1010,roieee,6987
20654,gearbaby1010,zondalol,1274
20655,gearbaby1010,waitou1117,684
20656,gearbaby1010,qttsix,2218
20657,gearbaby1010,et_1231,6958
20658,gearbaby1010,a541021,3154
20659,gearbaby1010,hipudding1223,762
20662,gearbaby1010,muse_tw,2124
20663,gearbaby1010,qq7925168,3573
20664,gearbaby1010,butterflyouo,6336
20665,gearbaby1010,loltyler1,944
20666,gearbaby1010,sooflower,1106
20667,gearbaby1010,bebelolz,6402
20669,gearbaby1010,lilballzlolz,759
20670,gearbaby1010,shroud,1415
20671,gearbaby1010,chiawei1031tv,2618
20672,gearbaby1010,xargon0731,5854
20673,gearbaby1010,kyo1984123,3759
20676,gearbaby1010,gunguno,7710
20677,gearbaby1010,kr1stw,1361
20680,gearbaby1010,mr_wuco,1389
20681,gearbaby1010,aceu,1604
20683,gearbaby1010,q158688920,1311
20684,gearbaby1010,kiss_850722,1378
20686,gearbaby1010,godjj,6012
20687,gearbaby1010,dogdog,652
20688,gearbaby1010,lolpacifictw,1943
20714,paulanobre,takeshi,687
20716,paulanobre,yang,782
20717,paulanobre,gratis150ml,1207
20721,paulanobre,shinimon,814
20723,paulanobre,s1mple,634
20724,paulanobre,nahzinhaa,1192
20725,paulanobre,loud_coringa,1434
20729,paulanobre,hastad,1210
20730,paulanobre,pulgaboy,695
20732,paulanobre,deercheerup,1970
20734,paulanobre,nuuhfps,2439
20735,paulanobre,suetam1v4,738
20736,paulanobre,casimito,4197
20737,paulanobre,frttt,8373
20739,paulanobre,calango,1421
20747,paulanobre,revolta,2641
20748,paulanobre,boltz,509
20756,paulanobre,cidcidoso,1035
20758,paulanobre,sacy,7745
20763,paulanobre,pimpimenta,751
20765,paulanobre,shroud,1504
20767,paulanobre,gafallen,790
20768,paulanobre,alanzoka,5592
20769,paulanobre,oestagiario,1375
20770,paulanobre,yayahuz,1743
20778,isamu,demonzz1,770
20780,isamu,remsua,4971
20784,isamu,xth0rek,2024
20785,isamu,holak1337,2588
20787,isamu,xmerghani,3512
20795,isamu,vysotzky,2841
20799,isamu,loltyler1,628
20801,isamu,shroud,612
20808,isamu,pokimane,932
20809,isamu,polsatgames,849
20810,isamu,pisicela,8235
21098,breeze0920,beryl_lulu,746
21099,breeze0920,nein1203,527
21100,breeze0920,mobilmobil,540
21101,breeze0920,carry_game,2355
21102,breeze0920,sweetcampercs,1137
21103,breeze0920,uzra,929
21104,breeze0920,kannachan524,841
21105,breeze0920,wayne75525,518
21106,breeze0920,failverde,563
21107,breeze0920,bbbb87,2005
21109,breeze0920,shuteye_orange,588
21110,breeze0920,blusewilly_retry,554
21112,breeze0920,guanweiboy,1832
21113,breeze0920,chen810830,839
21114,breeze0920,ggbb528,1681
21115,breeze0920,zhiting_li,907
21117,breeze0920,zrush,537
21118,breeze0920,roieee,762
21119,breeze0920,qttsix,609
21120,breeze0920,et_1231,1217
21121,breeze0920,a541021,719
21122,breeze0920,muse_tw,526
21123,breeze0920,qq7925168,670
21124,breeze0920,butterflyouo,1113
21125,breeze0920,bebelolz,1916
21126,breeze0920,xargon0731,1032
21127,breeze0920,kyo1984123,902
21129,breeze0920,gunguno,1016
21131,breeze0920,q158688920,667
21132,breeze0920,godjj,1509
21156,pgod,juansguarnizo,4796
21160,pgod,elded,1929
21161,pgod,noahreyli,1169
21162,pgod,coscu,1711
21163,pgod,k1ng,4957
21169,pgod,karchez,540
21171,pgod,scoped,1609
21183,pgod,ryux,1423
21184,pgod,belvid,521
21190,pgod,ops1x,1820
21191,pgod,buckefps,526
21192,pgod,benjyfishy,2676
21200,pgod,sujagg,9795
21204,pgod,auronplay,4995
21211,pgod,deyyszn,2034
21214,pgod,ibai,4810
21222,pgod,yosoyricklive,601
21321,dakotaz,sodapoppin,752
21328,dakotaz,starsmitten,536
21335,dakotaz,yvonnie,700
21336,dakotaz,summit1g,1593
21342,dakotaz,cloakzy,854
21352,dakotaz,kkatamina,504
21353,dakotaz,buddha,505
21356,dakotaz,lilypichu,795
21357,dakotaz,fuslie,776
21359,dakotaz,39daph,512
21360,dakotaz,loltyler1,546
21365,dakotaz,shroud,2658
21367,dakotaz,bnans,595
21369,dakotaz,aceu,675
21370,dakotaz,pokimane,1638
21374,dakotaz,moistcr1tikal,604
21377,evaanna,juansguarnizo,1010
21380,evaanna,coscu,504
21381,evaanna,buster,983
21391,evaanna,sodapoppin,1765
21392,evaanna,midbeast,872
21395,evaanna,eliasn97,861
21399,evaanna,sashagrey,1647
21401,evaanna,s1mple,904
21403,evaanna,spoopykitt,1480
21411,evaanna,melina,3291
21414,evaanna,bratiki94,703
21416,evaanna,casimito,605
21417,evaanna,summit1g,1219
21423,evaanna,haxxnini,525
21440,evaanna,woohankyung,654
21448,evaanna,auronplay,1762
21456,evaanna,pokelawls,532
21465,evaanna,39daph,552
21470,evaanna,loltyler1,1478
21474,evaanna,forsen,939
21475,evaanna,sooflower,604
21476,evaanna,shroud,3525
21480,evaanna,tarik,557
21483,evaanna,ibai,2235
21486,evaanna,aceu,573
21487,evaanna,pokimane,1456
21490,evaanna,alanzoka,536
21492,evaanna,ibabyrainbow,1517
