,Channel_Name,Language,Tags,Last Played Game,Game ID,Count
347,mistercop,ru,"['шизофрения', 'Фокусы', 'Социопатия', 'Русский']",Path of Exile,29307,7587
348,mistermv,fr,['Français'],Special Events,509663,90944
349,mlchoins,ko,['한국어'],Just Chatting,509658,9619
350,mokouliszt1,ja,['日本語'],Street Fighter 6,55453844,11498
351,magenta62,ko,"['한국어', '댄스', '댄스리액션']",Just Chatting,509658,18747
352,momo_sports,zh,['中文'],Sports,518203,23437
353,melharucos,ru,['Русский'],Just Chatting,509658,51327
354,mister903,ko,['한국어'],Art,509660,14440
355,moistcr1tikal,en,['English'],Fallout 4,489776,183916
356,majuuzinha,pt,['Português'],majuuzinha,majuuzinha,157
357,maxim,de,"['BesterSpieler', 'Maxim', 'Deutsch']",Black Myth: Wukong,519291,52815
358,masondota2,en,"['English', 'Animals', 'piggy', 'clowngirl']",Dota 2,29595,61015
359,mang0,en,"['badass', 'English', 'DropsEnabled']",Spectre Divide,1451084268,37595
360,metashi12,de,['Deutsch'],World of Warcraft,18122,49032
361,mailand,de,"['mailand', 'panzer', 'action', 'realtalk', 'Deutsch', 'DropsAktiviert']",World of Tanks,27546,17764
362,mitdamm,th,"['ไทย', 'ภาษาไทย']",Grand Theft Auto V,32982,6358
363,mobilmobil,zh,['中文'],TEKKEN 8,538054672,38029
364,midbeast,en,"['leagueoflegends', 'English', 'LyingEncouraged', 'Manipulator', 'Anime', 'Australia', 'dinosaurs', 'Affectionate', 'Golf', 'trapezoid']",League of Legends,21779,131160
365,methodz,en,"['cdl', 'cod', 'OpTic', 'methodz', 'mlb', 'ncaa', 'college', 'football', 'English']",VALORANT,516575,16393
366,mehdideluxe,de,"['gaming', 'VALORANＴ', 'GrandTheftAutoV', 'RP', 'justchattıng', 'Deutsch', 'minecraft', 'eafc24', 'Karrieremodus']",Black Myth: Wukong,519291,49008
367,melina,en,['English'],Just Chatting,509658,54589
368,mery_soldier,es,"['Español', 'Variety', 'playingwithhviewers']",World of Warcraft,18122,11592
369,miniminter,en,['English'],Just Chatting,509658,28986
370,mistafaker,ru,['Русский'],Casino Simulator,1506110656,13208
371,mr_wuco,zh,['中文'],Hearthstone,138585,14896
372,mujs_,tr,"['Türkçe', 'Muj', 'deLy', 'VALORANT']",VALORANT,516575,33208
373,nahzinhaa,pt,"['react', 'csgo', 'Português', 'fps', 'justcchatting', 'calldofduty']",Just Chatting,509658,24538
374,muse_tw,zh,"['中文', '動畫', '木棉花', '馬拉松']",Just Chatting,509658,19001
375,nein1203,zh,"['中文', '启用掉宝']",Zenless Zone Zero,456845141,10109
376,newbz,en,['English'],Call of Duty: Warzone,512710,9131
377,nodolly,ko,['한국어'],Minecraft,27471,24853
378,nanayango3o,ko,"['우주대스타', '한국어']",Just Chatting,509658,23164
379,naseongkim,ko,['한국어'],Just Chatting,509658,24826
380,nanajam777,ko,"['우정잉', '우엉징', '야랄', '누룽지', '한국어']",Just Chatting,509658,12768
381,nerdstreet,en,"['esports', 'Tournament', 'English']",Super Smash Bros. Ultimate,504461,2144
382,nemo_good,ja,['日本語'],Street Fighter 6,55453844,6715
383,nniru,ja,['日本語'],Apex Legends,511224,30453
384,noahreyli,de,['Deutsch'],Fortnite,33214,50962
385,natalan,es,"['Guatemala', 'México', 'Español']",Just Chatting,509658,31352
386,mount,pt,['Português'],Just Chatting,509658,41607
387,neimki,en,['English'],Just Chatting,509658,15214
388,mrstiventc,es,['Español'],Just Chatting,509658,33167
389,nbcolympics,en,nbcolympics,Sports,518203,26
390,msmsms213,ko,['한국어'],Just Chatting,509658,14063
