,Channel_Name,Language,Tags,Last Played Game,Game ID,ChannelID,Count
1566,rocketbeanstv,de,"['rbtv', 'rocketbeans', 'rocketbeanstv', 'Deutsch']",Special Events,509663,47627824,34709
1567,sah_yang,ko,['한국어'],sah_yang,sah_yang,139060194,15676
1568,savjz,en,"['english', 'English', 'Battlegrounds']",Hearthstone,138585,43131877,23535
1569,scarra,en,"['reallygoodtftplayer', 'iplayedlcsonce', 'reallygoodatfpsgames', 'builtalternatively', 'mortdogssecondson', 'English']",League of Legends,21779,22253819,48787
1570,repaz,de,"['Deutsch', 'Gaming']",Black Myth: Wukong,519291,101020771,24325
1571,ricoy,es,['Español'],Rust,263490,96604083,161399
1572,rollingstone,en,"['RollingStone', 'English', 'lastshow', 'done', 'final', 'capiche']",Vampire: The Masquerade,492963,592288540,623
1573,sardoche,fr,"['Français', 'Speedrun', 'ModeDifficile']",Minecraft,27471,50795214,113329
1574,rickyedit,es,"['rickyedit', 'Español']",rickyedit,rickyedit,115657971,20754
1575,revedtv,de,['Deutsch'],Just Chatting,509658,97123979,40107
1576,richwcampbell,en,"['OTK', 'LEECH', 'Asmongold', 'Mia', 'Bald', 'finalfantasy', 'wow', 'attractive', 'Cyr', 'English']",World of Warcraft,18122,127463427,87578
1577,rooftopcat99,ko,"['한국어', '일본어', '영어', '게임', '게임방송', '남캠', '캠방']",Just Chatting,509658,138686063,37513
1578,russel,en,"['Tall', 'Handsome', 'Funny', 'Cute', 'Comedy', 'Smart', 'FriendsWithSodapoppin', 'GoodAtGames', 'Rime', 'English']",Just Chatting,509658,70682869,7017
1579,remsua,pl,"['Polski', 'remsua', 'cyrk', 'ryby', 'hehe', 'pieczonki']",remsua,remsua,416083610,57914
1580,rubsarb,th,['ภาษาไทย'],Talk Shows & Podcasts,417752,125093246,17808
1581,saltybet,en,['English'],Retro,27284,43201452,11788
1582,sasatikk,ja,"['ネタバレなし', 'アドバイスなし', '日本語']",Escape from Tarkov,491931,67519684,31791
1583,rescue,en,"['English', 'Comfy']",Mechabellum,515881069,92655587,12400
1584,revolta,pt,"['Português', 'revolta', 'thenextmove', 'jungle']",Black Myth: Wukong,519291,40748114,41183
1585,rifftrax,en,['English'],Talk Shows & Podcasts,417752,7832442,7674
1586,rogue,en,"['English', 'BattlelRoyale', 'cars']",Apex Legends,511224,64581694,59866
1587,rootthegamer,tr,"['root', 'rootthegamer', 'watchparty', 'caster', 'espor', 'valorant', 'küfürsüz', 'Türkçe', 'Veteran', 'CS2']",Counter-Strike,32399,723361024,7493
1588,rudbeckia7,ko,['한국어'],Just Chatting,509658,46834933,17477
1589,runner0608,ko,['한국어'],Just Chatting,509658,149397653,40526
1590,sapnap,en,['English'],Just Chatting,509658,44332309,101776
1591,restiafps,zh,['中文'],Apex Legends,511224,126595970,34840
1592,reversal,en,"['English', 'Shiny', 'ShinyHunt', 'ShinyHunter']",Habbo,20922,61839721,5099
1593,riotgames_korea,ko,"['한국어', '리그오브레전드', 'LoL', 'TFT']",Teamfight Tactics,513143,107870305,4039
1594,roflgator,en,"['English', 'furry', 'vtuber', 'DisabledGamer']",League of Legends,21779,11897156,33798
1595,rokkeks,fr,['Français'],VALORANT,516575,793826266,7872
1596,rubius,es,['Español'],Just Chatting,509658,39276140,518122
1597,rudex,ar,"['arabic', 'arab', 'MT', 'MTARP', 'fortnite']",Grand Theft Auto V,32982,267394896,14947
1598,ryux,es,['Español'],Slots,498566,175229703,21662
1599,reventxz,es,"['Español', 'DropsActivados']",Guild Wars 2,19357,40110994,25116
1600,sajam,en,['English'],Street Fighter 6,55453844,1527327,16679
1601,sir_thomas_,fr,['Français'],Just Chatting,509658,71619324,11900
1602,slick,es,"['Español', 'slick', 'Mexico', 'Fortnite', 'rolplay']",VALORANT,516575,98274770,22304
1603,smallant,en,['English'],Super Mario Odyssey,493997,117349875,82848
1604,sn400ja,ko,"['한국어', '마재']",League of Legends,21779,25247111,11139
1605,scoped,en,"['English', 'Controller']",Fortnite,33214,193270950,37101
1606,setty__,pl,"['Polski', 'english', 'fortnite']",Fortnite,33214,227101767,1209
1607,sh4dowehhh,ru,"['Україна', 'Українська', 'Friendly', 'Русский']",Just Chatting,509658,47716614,21421
1608,shadowkekw,ru,"['Русский', 'csgo', 'English', 'Tiktok', 'мемы', 'дубай', 'москва', 'контент', 'шоу', 'лучший']",Just Chatting,509658,465131731,17431
1609,smurf_tv,ru,"['KOREAN', 'RANK1', 'EVERYROLE', 'GIGACHAD', 'CHALLENGER', 'Русский', 'турнир']",Black Myth: Wukong,519291,182899347,14868
1610,scrapie,en,"['Competitive', 'Speedrun', 'anime', 'pro', 'Multiplayer', 'English', 'worldrecord', 'jpop']",Trackmania,687129551,40646018,15450
