Channel_Name,Language,Tags,Last Played Game,Game ID
rngudwnswkd,ko,"['공포', '스피드런', '공략', '비디오게임', '발로란트', '공포게임', 'SPEEDRUN', 'LOL', '한국어']",Poppy Playtime,2058220722
robnic,de,"['Fortnite', 'DE', 'Deutsch']",Fortnite,33214
rogerbrown,en,"['English', 'DropsEnabled']",Tarisland,1746026634
rotterdam08,en,"['esports', 'starcraft', 'English', 'F123', 'starcraft']",StarCraft II,490422
rvnxmango,de,"['Deutsch', 'KrasserYiSpieler69', 'WerDasLießtMussPrimen', 'Infernohasser2000', 'Nech']",League of Legends,21779
s1mple,en,"['english', 'English']",Counter-Strike,32399
revenant,es,"['Español', 'Revenant', 'Anthrax', 'Yoplait', 'ElPolloDiablo', 'G4G']",Black Myth: Wukong,519291
reverse2k,en,['English'],VALORANT,516575
rigoncs,en,"['English', 'Rerun']",Counter-Strike,32399
rivenzi,fr,['Français'],Just Chatting,509658
ruben,hu,['Magyar'],Slots,498566
sacy,pt,"['Carecas', 'Português']",VALORANT,516575
repullze,en,"['Repullze', 'Repulze', 'Rebirth', 'CallofDuty', 'Warzone', 'mw2', 'wz2', 'pro', 'English', 'mw3']",Call of Duty: Warzone,512710
robcdee,en,"['Tokyo', 'Japan', 'Outdoors', 'Cycling', 'Exploration', 'Travel', 'Anime', 'Speedeating', 'English', 'Gout']",Just Chatting,509658
robinsongz,en,"['young', 'actuallyold', 'English']",Teamfight Tactics,513143
roxmiral,en,"['English', 'Roleplay', 'Depression', 'Anxiety', 'guys', 'uwu', 'gaymer']",Grand Theft Auto V,32982
saddummy,ko,"['한국어', '서새봄', '은돌이', 'korean']",Overwatch 2,515025
sashagrey,en,"['English', 'MOTIVATION', 'ELDENRING']",ELDEN RING,512953
rhobalas_lol,fr,"['VelKoz', 'Français', 'Éducatif', 'Midlane', 'Poulpe', 'Fin', 'Frérot', 'Sad']",Pokémon GO,490655
riotgamesjp,ja,"['Esports', '日本語', 'LoL', 'LJL2024', 'pcs2024', 'leagueoflegends']",League of Legends,21779
rocketbeanstv,de,"['rbtv', 'rocketbeans', 'rocketbeanstv', 'Deutsch']",Special Events,509663
sah_yang,ko,['한국어'],sah_yang,sah_yang
savjz,en,"['english', 'English', 'Battlegrounds']",Hearthstone,138585
scarra,en,"['reallygoodtftplayer', 'iplayedlcsonce', 'reallygoodatfpsgames', 'builtalternatively', 'mortdogssecondson', 'English']",League of Legends,21779
repaz,de,"['Deutsch', 'Gaming']",Black Myth: Wukong,519291
ricoy,es,['Español'],Rust,263490
rollingstone,en,"['RollingStone', 'English', 'lastshow', 'done', 'final', 'capiche']",Vampire: The Masquerade,492963
sardoche,fr,"['Français', 'Speedrun', 'ModeDifficile']",Minecraft,27471
rickyedit,es,"['rickyedit', 'Español']",rickyedit,rickyedit
revedtv,de,['Deutsch'],Just Chatting,509658
richwcampbell,en,"['OTK', 'LEECH', 'Asmongold', 'Mia', 'Bald', 'finalfantasy', 'wow', 'attractive', 'Cyr', 'English']",World of Warcraft,18122
rooftopcat99,ko,"['한국어', '일본어', '영어', '게임', '게임방송', '남캠', '캠방']",Just Chatting,509658
russel,en,"['Tall', 'Handsome', 'Funny', 'Cute', 'Comedy', 'Smart', 'FriendsWithSodapoppin', 'GoodAtGames', 'Rime', 'English']",Just Chatting,509658
remsua,pl,"['Polski', 'remsua', 'cyrk', 'ryby', 'hehe', 'pieczonki']",remsua,remsua
rubsarb,th,['ภาษาไทย'],Talk Shows & Podcasts,417752
saltybet,en,['English'],Retro,27284
sasatikk,ja,"['ネタバレなし', 'アドバイスなし', '日本語']",Escape from Tarkov,491931
rescue,en,"['English', 'Comfy']",Mechabellum,515881069
revolta,pt,"['Português', 'revolta', 'thenextmove', 'jungle']",Black Myth: Wukong,519291
rifftrax,en,['English'],Talk Shows & Podcasts,417752
rogue,en,"['English', 'BattlelRoyale', 'cars']",Apex Legends,511224
rootthegamer,tr,"['root', 'rootthegamer', 'watchparty', 'caster', 'espor', 'valorant', 'küfürsüz', 'Türkçe', 'Veteran', 'CS2']",Counter-Strike,32399
rudbeckia7,ko,['한국어'],Just Chatting,509658
runner0608,ko,['한국어'],Just Chatting,509658
sapnap,en,['English'],Just Chatting,509658
restiafps,zh,['中文'],Apex Legends,511224
reversal,en,"['English', 'Shiny', 'ShinyHunt', 'ShinyHunter']",Habbo,20922
riotgames_korea,ko,"['한국어', '리그오브레전드', 'LoL', 'TFT']",Teamfight Tactics,513143
roflgator,en,"['English', 'furry', 'vtuber', 'DisabledGamer']",League of Legends,21779
rokkeks,fr,['Français'],VALORANT,516575
rubius,es,['Español'],Just Chatting,509658
rudex,ar,"['arabic', 'arab', 'MT', 'MTARP', 'fortnite']",Grand Theft Auto V,32982
ryux,es,['Español'],Slots,498566
reventxz,es,"['Español', 'DropsActivados']",Guild Wars 2,19357
sajam,en,['English'],Street Fighter 6,55453844
sir_thomas_,fr,['Français'],Just Chatting,509658
slick,es,"['Español', 'slick', 'Mexico', 'Fortnite', 'rolplay']",VALORANT,516575
smallant,en,['English'],Super Mario Odyssey,493997
sn400ja,ko,"['한국어', '마재']",League of Legends,21779
scoped,en,"['English', 'Controller']",Fortnite,33214
setty__,pl,"['Polski', 'english', 'fortnite']",Fortnite,33214
sh4dowehhh,ru,"['Україна', 'Українська', 'Friendly', 'Русский']",Just Chatting,509658
shadowkekw,ru,"['Русский', 'csgo', 'English', 'Tiktok', 'мемы', 'дубай', 'москва', 'контент', 'шоу', 'лучший']",Just Chatting,509658
smurf_tv,ru,"['KOREAN', 'RANK1', 'EVERYROLE', 'GIGACHAD', 'CHALLENGER', 'Русский', 'турнир']",Black Myth: Wukong,519291
scrapie,en,"['Competitive', 'Speedrun', 'anime', 'pro', 'Multiplayer', 'English', 'worldrecord', 'jpop']",Trackmania,687129551
sidoka_ns,pt,['Português'],Virtual Casino,29452
sinatraa,en,['English'],VALORANT,516575
slrabbit99,zh,"['中文', '重播']",slrabbit99,slrabbit99
smitegame,en,"['Esports', 'English', 'DropsEnabled']",SMITE,32507
sneegsnag,en,"['farts', 'English', 'minecraft', 'vaulthunters', 'sdmp', 'moddedminecraft']",Minecraft,27471
shinimon,pt,"['Português', 'Fullclear', 'Intelectual', 'Lillia']",League of Legends,21779
silent,en,['English'],I'm Only Sleeping,498592
sirmaza,es,"['valorant', 'radiant', 'Español']",VALORANT,516575
smashley,en,"['English', 'LGBTQIA', 'Trans', 'RPG', 'Adventure', 'abs', 'Educational', 'Transgender']",Star Citizen,71375
sixentv,fr,"['jungler', 'leagueoflegends', 'marseillais', 'pizzaiolo', 'pédagogie', 'fun', 'intéractif', 'Français']",League of Legends,21779
sixwong,zh,"['巨魔', '6tan', '反應越來越慢了', 'EnglishOK', '中文']",Black Myth: Wukong,519291
skyshocktv,es,"['Português', 'ADHD', 'Minecraft', '420', 'Mexico', 'Tijuana', 'Español', 'Inglés', 'LuchaLibre', 'BTSArmy']",Just Chatting,509658
smittyw,es,"['humor', 'inmaduro', 'Español']",Just Chatting,509658
shibuya_kaho,en,"['Japan', 'Japanese', 'English']",Just Chatting,509658
shisheyu,fr,"['Français', 'shisheyu']",Super Mario Galaxy,14766
silphtv,ko,['한국어'],Just Chatting,509658
silvername,ru,"['Русский', 'Hardcore']",World of Warcraft,18122
sips_,en,"['dad', 'falconry', 'mapmaking', 'bronzesmith', 'esportsready', 'sensei', 'young', 'English']",Construction Simulator,814559054
sleepypuffy,en,['English'],Coral Island,1960341762
scumtk,en,"['Comedy', 'Anime', 'ａｎｉｍｅ', 'justchatting', 'Black', 'sports', '18plus', 'English']",Just Chatting,509658
shubble,en,"['lgbtqia', 'english', 'English']",Town of Salem 2,1238739089
shurjoka,de,['Deutsch'],Just Chatting,509658
sick_cs,en,['English'],VALORANT,516575
slop3,sv,['Svenska'],Just Chatting,509658
scump,en,['English'],Call of Duty: Modern Warfare III,1337444628
sereda,en,"['dancing', 'English', 'pools', 'girl', 'Singing', 'music', 'MusicProduction', 'Cooking', 'dance']",Just Chatting,509658
